Sector name,Direct emission coefficient (B),Supply chain induced coefficient (B*L),Indirect induced amount (BL-B),Scope2,Scope3
"Electricity, gas, and steam supply",2.5087989349347506,2.8773278965526234,0.36852896161787285,0.31810012560971224,0.050428836008160616
Non-metallic mineral products,0.9007965219623647,1.4044257605788217,0.503629238616457,0.17484186309019653,0.3287873755262605
Basic metal products,0.7769681279419101,1.2837941000320003,0.5068259720900903,0.21681002974387215,0.29001594234621814
Transportation,0.5971784555848222,0.8078394452531942,0.210660989668372,0.08027282630339168,0.13038816336498033
"Water supply, sewage and waste treatment and disposal services",0.5497072098515151,0.7978621632954637,0.24815495344394856,0.0931153255287264,0.15503962791522216
"Agricultural, forest, and fishery goods",0.4277115962556695,0.6422523416060842,0.21454074535041473,0.08429556069530512,0.1302451846551096
Mined and quarried goods,0.27027826498272284,0.6372627552213256,0.36698449023860275,0.17893271644207542,0.18805177379652732
Chemical products,0.28386431811417806,0.5920904255640274,0.3082261074498493,0.14306527180070047,0.16516083564914882
Petroleum and coal products,0.34477262439194833,0.5031742055812086,0.1584015811892603,0.09901638425503553,0.059385196934224754
"Fabricated metal products, except machinery and furniture",0.003956605358938585,0.4457596239921104,0.4418030186331718,0.15920112299363823,0.28260189563953353
Other manufactured products,0.1402337944094216,0.3974305851044624,0.25719679069504076,0.07144827407433318,0.18574851662070757
"Wood and paper products, printing and reproduction of recorded media",0.053020453606992785,0.3610099479096508,0.307989494302658,0.16993427410174983,0.13805522020090816
"Food, beverages and tobacco products",0.014018073060530871,0.31792471346250795,0.30390664040197707,0.08662647868908538,0.2172801617128917
Construction,0.007606912389737929,0.306012255961985,0.2984053435722471,0.06708380701350877,0.2313215365587383
Transport equipment,0.009195174789932379,0.3040401864559555,0.2948450116660231,0.09671184144897854,0.19813317021704457
Machinery and equipment,0.03689183307629995,0.29650479401550417,0.2596129609392042,0.0887952490795579,0.17081771185964634
Electrical equipment,0.0010951390595415427,0.27943671873155895,0.2783415796720174,0.09053208899741387,0.1878094906746035
Textile and leather products,0.06683188991873493,0.26268466111563776,0.19585277119690284,0.07948311241579115,0.11636965878111169
Food services and accommodation,0.013895429382578118,0.23269458473297025,0.21879915535039213,0.06764604986791575,0.15115310548247637
"Computing machinery, electronic equipment and optical instruments",0.028085598726256236,0.1907863934218895,0.16270079469563326,0.09151967304826945,0.0711811216473638
Other services,0.006207988501097968,0.17136678650678164,0.16515879800568367,0.06445914253741651,0.10069965546826716
Manufacturing services and repair services of industrial equipment,0.023771237313818493,0.1624048891266157,0.1386336518127972,0.0502764200440665,0.08835723176873068
Health and social care services,0.009444597821179486,0.15059403628164478,0.1411494384604653,0.05456718736919955,0.08658225109126574
"Art, sports, and leisure services",0.008093365885468558,0.147802194538015,0.13970882865254644,0.07276606733197549,0.06694276132057095
Wholesale and retail trade and commodity brokerage services,0.005096273584514038,0.14137002204575302,0.136273748461239,0.04897497579278745,0.08729877266845154
"Professional, scientific, and technical services",0.0063926020717349225,0.14045348976645716,0.13406088769472224,0.07408192467605414,0.059978963018668105
Education services,0.016696559868001788,0.13982485151099575,0.12312829164299396,0.07514848800140642,0.04797980364158755
"Public administration, defense, and social security services",0.034645088713623706,0.10851411297338423,0.07386902425976052,0.028027823808873066,0.04584120045088746
Business support services,0.0012406069266132232,0.08504481062357035,0.08380420369695712,0.028597199469050937,0.055207004227906184
Communications and broadcasting,0.0005608919414247177,0.07161547134753202,0.0710545794061073,0.035260177371801815,0.03579440203430548
Real estate services,0.0009383950421067059,0.05169842385808586,0.05076002881597915,0.02578455784066476,0.02497547097531439
Finance and insurance,0.0006417357821152419,0.046113808211405594,0.04547207242929035,0.02459478392876791,0.02087728850052244
